user_id,user_label,method,tas_at_10
237a7a92-f885-4e53-b44b-6c6ae9cd1917,Carlos — Picante/Umami,onboarding,0.876032
237a7a92-f885-4e53-b44b-6c6ae9cd1917,Carlos — Picante/Umami,poblacional,0.856267
237a7a92-f885-4e53-b44b-6c6ae9cd1917,Carlos — Picante/Umami,plano,0.786282
d0967bfe-14ad-45ac-8db2-adfbcff9746d,Valentina — Dulce/Suave,onboarding,0.844467
d0967bfe-14ad-45ac-8db2-adfbcff9746d,Valentina — Dulce/Suave,poblacional,0.657387
d0967bfe-14ad-45ac-8db2-adfbcff9746d,Valentina — Dulce/Suave,plano,0.722227
a893c362-330f-45b4-9d38-8dd3a6b5faf4,Andres — Umami/Graso,onboarding,0.982027
a893c362-330f-45b4-9d38-8dd3a6b5faf4,Andres — Umami/Graso,poblacional,0.954666
a893c362-330f-45b4-9d38-8dd3a6b5faf4,Andres — Umami/Graso,plano,0.95568
55186d85-b09e-4ed3-8105-5e73df967b6b,Maria — Vegana/Acida,onboarding,0.948677
55186d85-b09e-4ed3-8105-5e73df967b6b,Maria — Vegana/Acida,poblacional,0.953939
55186d85-b09e-4ed3-8105-5e73df967b6b,Maria — Vegana/Acida,plano,0.943576
51598978-dcc8-44ff-a593-f4b2a54bbf49,Santiago — Equilibrado/Explorador,onboarding,0.92953
51598978-dcc8-44ff-a593-f4b2a54bbf49,Santiago — Equilibrado/Explorador,poblacional,0.967108
51598978-dcc8-44ff-a593-f4b2a54bbf49,Santiago — Equilibrado/Explorador,plano,0.885115
671ea097-0aed-477a-8c2e-66f87cd53fc8,Isabella — Sin Gluten,onboarding,0.89801
671ea097-0aed-477a-8c2e-66f87cd53fc8,Isabella — Sin Gluten,poblacional,0.857454
671ea097-0aed-477a-8c2e-66f87cd53fc8,Isabella — Sin Gluten,plano,0.930257
